# Species	Genes	Alg.-Conn.	clean_P08H-3.faa	clean_Pec.faa	clean_R07B-5.faa
2	2	1	*	PE_Scaf5633_1.6	maker-ctg436_pilon-protein2genome-gene-2.20-mRNA-1
2	2	1	*	PE_Scaf5638_3.1	maker-ctg878_pilon-protein2genome-gene-0.19-mRNA-1
2	2	1	*	PE_Scaf5640_2.13	augustus-ctg985_pilon-processed-gene-0.15-mRNA-1
2	2	1	*	PE_Scaf5643_1.13	augustus-ctg548_pilon-processed-gene-1.21-mRNA-1
2	2	1	*	PE_Scaf5652_0.15	maker-ctg220_pilon-protein2genome-gene-0.31-mRNA-1
2	2	1	*	PE_Scaf5654_0.6	maker-ctg219_pilon-protein2genome-gene-2.2-mRNA-1
2	2	1	*	PE_Scaf5659_0.4	maker-ctg74_pilon-protein2genome-gene-5.48-mRNA-1
2	2	1	*	PE_Scaf5662_2.10	maker-ctg377_pilon-protein2genome-gene-2.19-mRNA-1
2	2	1	*	PE_Scaf5676_2.6	augustus-ctg17_pilon-processed-gene-0.7-mRNA-1
2	2	1	*	PE_Scaf5676_3.6	maker-ctg17_pilon-protein2genome-gene-2.39-mRNA-1
2	2	1	*	PE_Scaf5680_1.9	augustus-ctg2_pilon-processed-gene-13.12-mRNA-1
2	2	1	*	PE_Scaf5680_16.8	maker-ctg409_pilon-protein2genome-gene-4.14-mRNA-1
2	2	1	*	PE_Scaf5680_2.6	maker-ctg2_pilon-augustus-gene-14.23-mRNA-1
2	2	1	*	PE_Scaf5680_6.3	maker-ctg297_pilon-protein2genome-gene-0.28-mRNA-1
2	2	1	*	PE_Scaf5680_7.2	maker-ctg297_pilon-protein2genome-gene-1.11-mRNA-1
2	2	1	*	PE_Scaf5681_1.9	maker-ctg711_pilon-est2genome-gene-3.91-mRNA-1
2	2	1	*	PE_Scaf5690_1.2	maker-ctg160_pilon-protein2genome-gene-4.5-mRNA-1
2	2	1	*	PE_Scaf5690_2.9	maker-ctg160_pilon-augustus-gene-4.21-mRNA-1
2	2	1	*	PE_Scaf5690_3.4	augustus-ctg160_pilon-processed-gene-3.11-mRNA-1
2	2	1	*	PE_Scaf5700_0.9	augustus-ctg59_pilon-processed-gene-1.57-mRNA-1
2	2	1	*	PE_Scaf5707_0.5	maker-ctg168_pilon-protein2genome-gene-3.0-mRNA-1
2	2	1	*	PE_Scaf5711_2.5	augustus-ctg83_pilon-processed-gene-5.26-mRNA-1
2	2	1	*	PE_Scaf5712_0.3	maker-ctg730_pilon-augustus-gene-1.88-mRNA-1
2	2	1	*	PE_Scaf5712_1.5	maker-ctg1049_pilon-augustus-gene-0.43-mRNA-1
2	2	1	*	PE_Scaf5712_2.3	augustus_masked-ctg1049_pilon-processed-gene-0.85-mRNA-1
2	2	1	*	PE_Scaf5712_3.5	maker-ctg1049_pilon-protein2genome-gene-0.0-mRNA-1
2	2	1	*	PE_Scaf5712_4.3	augustus-ctg1432_pilon-processed-gene-0.45-mRNA-1
2	2	1	*	PE_Scaf5712_7.3	maker-ctg802_pilon-protein2genome-gene-2.13-mRNA-1
2	2	1	*	PE_Scaf5717_2.4	maker-ctg583_pilon-protein2genome-gene-1.54-mRNA-1
2	2	1	*	PE_Scaf5717_3.12	maker-ctg583_pilon-protein2genome-gene-1.64-mRNA-1
2	2	1	*	PE_Scaf5717_3.13	augustus_masked-ctg4830_pilon-processed-gene-0.3-mRNA-1
2	2	1	*	PE_Scaf5718_0.24	maker-ctg7376_pilon-protein2genome-gene-0.7-mRNA-1
2	2	1	*	PE_Scaf5718_3.5	maker-ctg133_pilon-protein2genome-gene-1.18-mRNA-1
2	2	1	*	PE_Scaf571_1.9	augustus-ctg92_pilon-processed-gene-3.37-mRNA-1
2	2	1	*	PE_Scaf5734_1.2	maker-ctg109_pilon-protein2genome-gene-7.24-mRNA-1
2	2	1	*	PE_Scaf5734_2.9	maker-ctg109_pilon-protein2genome-gene-7.31-mRNA-1
2	2	1	*	PE_Scaf5737_1.4	augustus-ctg891_pilon-processed-gene-0.43-mRNA-1
2	2	1	*	PE_Scaf5737_2.5	augustus-ctg477_pilon-processed-gene-0.30-mRNA-1
2	2	1	*	PE_Scaf573_2.8	maker-ctg42_pilon-protein2genome-gene-6.6-mRNA-1
2	2	1	*	PE_Scaf573_3.9	maker-ctg42_pilon-augustus-gene-5.21-mRNA-1
2	2	1	*	PE_Scaf5747_4.1	maker-ctg1841_pilon-protein2genome-gene-0.3-mRNA-1
2	2	1	*	PE_Scaf5747_4.13	maker-ctg2020_pilon-protein2genome-gene-0.18-mRNA-1
2	2	1	*	PE_Scaf5752_0.3	maker-ctg960_pilon-protein2genome-gene-2.19-mRNA-1
2	2	1	*	PE_Scaf5757_5.5	maker-ctg1267_pilon-protein2genome-gene-0.16-mRNA-1
2	2	1	*	PE_Scaf5757_6.5	maker-ctg783_pilon-protein2genome-gene-0.0-mRNA-1
2	2	1	*	PE_Scaf5760_1.11	augustus-ctg7530_pilon-processed-gene-0.24-mRNA-1
2	2	1	*	PE_Scaf5760_1.12	augustus-ctg7530_pilon-processed-gene-0.25-mRNA-1
2	2	1	*	PE_Scaf5760_1.60	maker-ctg7799_pilon-protein2genome-gene-0.1-mRNA-1
2	2	1	*	PE_Scaf5770_4.4	augustus-ctg21_pilon-processed-gene-6.27-mRNA-1
2	2	1	*	PE_Scaf5775_1.6	maker-ctg10_pilon-protein2genome-gene-8.12-mRNA-1
2	2	1	*	PE_Scaf5778_12.13	maker-ctg630_pilon-protein2genome-gene-1.43-mRNA-1
2	2	1	*	PE_Scaf5778_17.36	augustus-ctg1102_pilon-processed-gene-0.23-mRNA-1
2	2	1	*	PE_Scaf5778_18.2	augustus-ctg1102_pilon-processed-gene-0.25-mRNA-1
2	2	1	*	PE_Scaf5778_7.5	maker-ctg447_pilon-augustus-gene-3.4-mRNA-1
2	2	1	*	PE_Scaf5778_9.28	augustus-ctg439_pilon-processed-gene-5.38-mRNA-1
2	2	1	*	PE_Scaf5778_9.4	augustus-ctg439_pilon-processed-gene-5.53-mRNA-1
2	2	1	*	PE_Scaf577_0.1	augustus-ctg744_pilon-processed-gene-0.28-mRNA-1
2	2	1	*	PE_Scaf5781_0.3	augustus-ctg276_pilon-processed-gene-1.0-mRNA-1
2	2	1	*	PE_Scaf5782_2.10	maker-ctg1549_pilon-augustus-gene-0.1-mRNA-1
2	2	1	*	PE_Scaf5785_1.5	augustus-ctg273_pilon-processed-gene-2.20-mRNA-1
2	2	1	*	PE_Scaf5790_2.5	maker-ctg1041_pilon-protein2genome-gene-1.59-mRNA-1
2	2	1	*	PE_Scaf5790_3.4	maker-ctg1041_pilon-protein2genome-gene-1.18-mRNA-1
2	2	1	*	PE_Scaf5802_14.13	augustus-ctg207_pilon-processed-gene-1.11-mRNA-1
2	2	1	*	PE_Scaf5802_14.8	maker-ctg207_pilon-protein2genome-gene-1.54-mRNA-1
2	2	1	*	PE_Scaf5802_2.8	augustus-ctg5_pilon-processed-gene-13.27-mRNA-1
2	2	1	*	PE_Scaf5802_3.2	augustus-ctg5_pilon-processed-gene-13.18-mRNA-1
2	2	1	*	PE_Scaf5802_5.10	maker-ctg5_pilon-augustus-gene-10.13-mRNA-1
2	2	1	*	PE_Scaf5802_6.2	maker-ctg207_pilon-augustus-gene-3.50-mRNA-1
2	2	1	*	PE_Scaf5805_0.17	maker-ctg570_pilon-protein2genome-gene-0.27-mRNA-1
2	2	1	*	PE_Scaf5805_0.9	maker-ctg570_pilon-protein2genome-gene-0.19-mRNA-1
2	2	1	*	PE_Scaf5809_1.10	augustus-ctg428_pilon-processed-gene-1.13-mRNA-1
2	2	1	*	PE_Scaf5819_2.3	maker-ctg701_pilon-augustus-gene-1.18-mRNA-1
2	2	1	*	PE_Scaf5836_6.11	maker-ctg509_pilon-protein2genome-gene-1.3-mRNA-1
2	2	1	*	PE_Scaf5853_0.3	maker-ctg1154_pilon-protein2genome-gene-0.38-mRNA-1
2	2	1	*	PE_Scaf5855_13.5	maker-ctg2771_pilon-protein2genome-gene-0.1-mRNA-1
2	2	1	*	PE_Scaf5855_6.3	maker-ctg257_pilon-protein2genome-gene-3.32-mRNA-1
2	2	1	*	PE_Scaf5855_9.5	maker-ctg257_pilon-protein2genome-gene-2.20-mRNA-1
2	2	1	*	PE_Scaf5858_0.6	augustus-ctg497_pilon-processed-gene-0.2-mRNA-1
2	2	1	*	PE_Scaf5860_0.7	maker-ctg404_pilon-protein2genome-gene-2.71-mRNA-1
2	2	1	*	PE_Scaf5865_0.2	maker-ctg1855_pilon-protein2genome-gene-0.39-mRNA-1
2	2	1	*	PE_Scaf5879_1.4	maker-ctg1301_pilon-protein2genome-gene-0.6-mRNA-1
2	2	1	*	PE_Scaf5891_1.10	maker-ctg740_pilon-protein2genome-gene-2.37-mRNA-1
2	2	1	*	PE_Scaf5891_1.9	augustus-ctg1473_pilon-processed-gene-0.18-mRNA-1
2	2	1	*	PE_Scaf5895_0.7	maker-ctg1354_pilon-protein2genome-gene-0.0-mRNA-1
2	2	1	*	PE_Scaf5896_0.3	augustus-ctg14_pilon-processed-gene-1.12-mRNA-1
2	2	1	*	PE_Scaf5896_1.3	maker-ctg14_pilon-protein2genome-gene-1.45-mRNA-1
2	2	1	*	PE_Scaf5907_14.5	maker-ctg341_pilon-protein2genome-gene-2.36-mRNA-1
2	2	1	*	PE_Scaf5907_15.15	augustus-ctg341_pilon-processed-gene-1.24-mRNA-1
2	2	1	*	PE_Scaf5907_3.4	augustus-ctg1362_pilon-processed-gene-0.38-mRNA-1
2	2	1	*	PE_Scaf5907_3.5	augustus-ctg1362_pilon-processed-gene-0.46-mRNA-1
2	2	1	*	PE_Scaf5907_4.2	augustus-ctg1362_pilon-processed-gene-0.39-mRNA-1
2	2	1	*	PE_Scaf5907_4.3	maker-ctg1362_pilon-protein2genome-gene-0.32-mRNA-1
2	2	1	*	PE_Scaf5907_5.7	maker-ctg1307_pilon-protein2genome-gene-1.1-mRNA-1
2	2	1	*	PE_Scaf5907_5.8	augustus-ctg1362_pilon-processed-gene-1.36-mRNA-1
2	2	1	*	PE_Scaf5910_5.18	augustus-ctg1626_pilon-processed-gene-0.36-mRNA-1
2	2	1	*	PE_Scaf5913_0.3	maker-ctg232_pilon-protein2genome-gene-2.4-mRNA-1
2	2	1	*	PE_Scaf5913_6.2	maker-ctg501_pilon-augustus-gene-2.35-mRNA-1
2	2	1	*	PE_Scaf5915_0.1	maker-ctg108_pilon-protein2genome-gene-1.1-mRNA-1
2	2	1	*	PE_Scaf5916_10.2	maker-ctg39_pilon-protein2genome-gene-6.43-mRNA-1
2	2	1	*	PE_Scaf5916_6.4	augustus-ctg628_pilon-processed-gene-0.14-mRNA-1
2	2	1	*	PE_Scaf5916_8.1	augustus-ctg1786_pilon-processed-gene-0.32-mRNA-1
2	2	1	*	PE_Scaf5916_9.3	maker-ctg52_pilon-protein2genome-gene-0.16-mRNA-1
2	2	1	*	PE_Scaf5920_1.7	maker-ctg667_pilon-protein2genome-gene-0.11-mRNA-1
2	2	1	*	PE_Scaf5927_0.5	maker-ctg13_pilon-protein2genome-gene-11.11-mRNA-1
2	2	1	*	PE_Scaf5929_4.0	maker-ctg1547_pilon-protein2genome-gene-0.7-mRNA-1
2	2	1	*	PE_Scaf5936_0.2	augustus_masked-ctg126_pilon-processed-gene-7.17-mRNA-1
2	2	1	*	PE_Scaf5936_2.2	maker-ctg1154_pilon-protein2genome-gene-0.33-mRNA-1
2	2	1	*	PE_Scaf5944_2.1	maker-ctg226_pilon-protein2genome-gene-5.29-mRNA-1
2	2	1	*	PE_Scaf5944_2.13	maker-ctg226_pilon-protein2genome-gene-5.28-mRNA-1
2	2	1	*	PE_Scaf5949_0.9	maker-ctg103_pilon-protein2genome-gene-6.67-mRNA-1
2	2	1	*	PE_Scaf5953_1.4	maker-ctg784_pilon-augustus-gene-1.1-mRNA-1
2	2	1	*	PE_Scaf5970_0.4	augustus-ctg2_pilon-processed-gene-11.6-mRNA-1
2	2	1	*	PE_Scaf5970_1.3	augustus-ctg2_pilon-processed-gene-10.20-mRNA-1
2	2	1	*	PE_Scaf5972_1.2	maker-ctg92_pilon-protein2genome-gene-2.8-mRNA-1
2	2	1	*	PE_Scaf5982_8.3	augustus-ctg679_pilon-processed-gene-1.22-mRNA-1
2	2	1	*	PE_Scaf5989_0.5	maker-ctg324_pilon-augustus-gene-3.5-mRNA-1
2	2	1	*	PE_Scaf5990_0.9	maker-ctg1116_pilon-protein2genome-gene-0.2-mRNA-1
2	2	1	*	PE_Scaf5999_0.5	maker-ctg1417_pilon-augustus-gene-0.43-mRNA-1
2	2	1	*	PE_Scaf6006_0.3	maker-ctg981_pilon-protein2genome-gene-0.16-mRNA-1
2	2	1	*	PE_Scaf6016_0.10	maker-ctg253_pilon-protein2genome-gene-3.62-mRNA-1
2	2	1	*	PE_Scaf6016_0.14	augustus_masked-ctg253_pilon-processed-gene-3.41-mRNA-1
2	2	1	*	PE_Scaf601_0.2	maker-ctg1231_pilon-protein2genome-gene-0.38-mRNA-1
2	2	1	*	PE_Scaf6024_2.11	augustus-ctg823_pilon-processed-gene-0.2-mRNA-1
2	2	1	*	PE_Scaf6024_2.12	maker-ctg823_pilon-augustus-gene-0.42-mRNA-1
2	2	1	*	PE_Scaf6024_2.9	augustus-ctg823_pilon-processed-gene-0.6-mRNA-1
2	2	1	*	PE_Scaf6032_1.7	augustus-ctg912_pilon-processed-gene-0.18-mRNA-1
2	2	1	*	PE_Scaf6032_2.3	maker-ctg1332_pilon-est2genome-gene-0.41-mRNA-1
2	2	1	*	PE_Scaf6032_3.4	maker-ctg1332_pilon-est2genome-gene-0.43-mRNA-1
2	2	1	*	PE_Scaf6039_2.0	maker-ctg459_pilon-protein2genome-gene-1.47-mRNA-1
2	2	1	*	PE_Scaf603_0.7	maker-ctg899_pilon-est2genome-gene-0.25-mRNA-1
2	2	1	*	PE_Scaf6043_3.8	maker-ctg657_pilon-protein2genome-gene-1.49-mRNA-1
2	2	1	*	PE_Scaf6047_1.1	maker-ctg2088_pilon-protein2genome-gene-0.19-mRNA-1
2	2	1	*	PE_Scaf6047_2.10	maker-ctg1217_pilon-est_gff_est2genome-gene-0.90-mRNA-1
2	2	1	*	PE_Scaf6047_2.9	maker-ctg1217_pilon-protein2genome-gene-0.23-mRNA-1
2	2	1	*	PE_Scaf604_3.3	maker-ctg39_pilon-protein2genome-gene-4.28-mRNA-1
2	2	1	*	PE_Scaf604_5.6	maker-ctg39_pilon-protein2genome-gene-3.1-mRNA-1
2	2	1	*	PE_Scaf6051_5.10	maker-ctg693_pilon-protein2genome-gene-0.14-mRNA-1
2	2	1	*	PE_Scaf6051_5.12	augustus-ctg728_pilon-processed-gene-1.34-mRNA-1
2	2	1	*	PE_Scaf6084_1.6	augustus_masked-ctg2308_pilon-processed-gene-0.16-mRNA-1
2	2	1	*	PE_Scaf6084_2.7	maker-ctg1611_pilon-protein2genome-gene-0.18-mRNA-1
2	2	1	*	PE_Scaf6091_0.6	maker-ctg331_pilon-protein2genome-gene-6.73-mRNA-1
2	2	1	*	PE_Scaf6092_0.13	maker-ctg1027_pilon-protein2genome-gene-0.6-mRNA-1
2	2	1	*	PE_Scaf6092_1.5	maker-ctg1027_pilon-protein2genome-gene-0.14-mRNA-1
2	2	1	*	PE_Scaf6111_0.7	maker-ctg979_pilon-protein2genome-gene-1.18-mRNA-1
2	2	1	*	PE_Scaf6111_1.4	maker-ctg979_pilon-protein2genome-gene-1.22-mRNA-1
2	2	1	*	PE_Scaf6113_0.3	maker-ctg91_pilon-protein2genome-gene-4.21-mRNA-1
2	2	1	*	PE_Scaf6120_1.6	maker-ctg196_pilon-protein2genome-gene-3.63-mRNA-1
2	2	1	*	PE_Scaf6123_4.11	augustus-ctg1471_pilon-processed-gene-0.36-mRNA-1
2	2	1	*	PE_Scaf6123_4.7	maker-ctg1725_pilon-augustus-gene-0.3-mRNA-1
2	2	1	*	PE_Scaf6124_1.1	maker-ctg1374_pilon-augustus-gene-0.13-mRNA-1
2	2	1	*	PE_Scaf6139_3.0	maker-ctg856_pilon-est_gff_est2genome-gene-0.17-mRNA-1
2	2	1	*	PE_Scaf6139_4.9	augustus-ctg856_pilon-processed-gene-0.1-mRNA-1
2	2	1	*	PE_Scaf6145_2.12	maker-ctg1461_pilon-protein2genome-gene-0.51-mRNA-1
2	2	1	*	PE_Scaf6149_2.3	augustus-ctg335_pilon-processed-gene-0.58-mRNA-1
2	2	1	*	PE_Scaf6149_3.10	augustus-ctg1062_pilon-processed-gene-0.9-mRNA-1
2	2	1	*	PE_Scaf6153_5.4	maker-ctg280_pilon-augustus-gene-2.25-mRNA-1
2	2	1	*	PE_Scaf6153_5.5	maker-ctg280_pilon-protein2genome-gene-2.0-mRNA-1
2	2	1	*	PE_Scaf6154_1.4	maker-ctg19_pilon-protein2genome-gene-0.6-mRNA-1
2	2	1	*	PE_Scaf6154_2.6	augustus-ctg19_pilon-processed-gene-0.26-mRNA-1
2	2	1	*	PE_Scaf6154_2.7	maker-ctg19_pilon-augustus-gene-0.48-mRNA-1
2	2	1	*	PE_Scaf6162_2.3	maker-ctg680_pilon-protein2genome-gene-1.0-mRNA-1
2	2	1	*	PE_Scaf6166_1.5	maker-ctg1351_pilon-protein2genome-gene-0.2-mRNA-1
2	2	1	*	PE_Scaf6168_0.5	augustus_masked-ctg987_pilon-processed-gene-0.54-mRNA-1
2	2	1	*	PE_Scaf6168_1.10	maker-ctg987_pilon-protein2genome-gene-0.18-mRNA-1
2	2	1	*	PE_Scaf6175_1.9	maker-ctg874_pilon-protein2genome-gene-0.2-mRNA-1
2	2	1	*	PE_Scaf6175_2.2	maker-ctg759_pilon-augustus-gene-1.48-mRNA-1
2	2	1	*	PE_Scaf6178_0.2	maker-ctg583_pilon-protein2genome-gene-1.60-mRNA-1
2	2	1	*	PE_Scaf6178_2.16	maker-ctg583_pilon-protein2genome-gene-2.13-mRNA-1
2	2	1	*	PE_Scaf6178_2.9	augustus-ctg583_pilon-processed-gene-2.47-mRNA-1
2	2	1	*	PE_Scaf6191_5.5	augustus-ctg34_pilon-processed-gene-5.1-mRNA-1
2	2	1	*	PE_Scaf6193_0.4	augustus_masked-ctg265_pilon-processed-gene-1.38-mRNA-1
2	2	1	*	PE_Scaf6193_9.4	maker-ctg237_pilon-protein2genome-gene-3.54-mRNA-1
2	2	1	*	PE_Scaf6195_1.1	augustus-ctg973_pilon-processed-gene-1.7-mRNA-1
2	2	1	*	PE_Scaf6195_1.25	maker-ctg973_pilon-protein2genome-gene-1.39-mRNA-1
2	2	1	*	PE_Scaf6195_2.3	augustus-ctg335_pilon-processed-gene-1.14-mRNA-1
2	2	1	*	PE_Scaf6199_1.7	augustus-ctg21_pilon-processed-gene-6.31-mRNA-1
2	2	1	*	PE_Scaf6199_3.16	maker-ctg21_pilon-augustus-gene-6.7-mRNA-1
2	2	1	*	PE_Scaf6199_3.17	maker-ctg21_pilon-protein2genome-gene-7.16-mRNA-1
2	2	1	*	PE_Scaf6199_4.12	maker-ctg21_pilon-protein2genome-gene-7.26-mRNA-1
2	2	1	*	PE_Scaf6205_3.8	maker-ctg31_pilon-protein2genome-gene-0.2-mRNA-1
2	2	1	*	PE_Scaf6206_1.4	maker-ctg254_pilon-protein2genome-gene-0.15-mRNA-1
2	2	1	*	PE_Scaf6206_2.11	maker-ctg254_pilon-protein2genome-gene-0.0-mRNA-1
2	2	1	*	PE_Scaf6213_3.3	maker-ctg1371_pilon-protein2genome-gene-0.24-mRNA-1
2	2	1	*	PE_Scaf6213_6.0	augustus-ctg2165_pilon-processed-gene-0.6-mRNA-1
2	2	1	*	PE_Scaf621_2.5	augustus-ctg1636_pilon-processed-gene-0.38-mRNA-1
2	2	1	*	PE_Scaf6220_4.3	augustus-ctg429_pilon-processed-gene-2.26-mRNA-1
2	2	1	*	PE_Scaf6220_5.8	maker-ctg429_pilon-protein2genome-gene-2.51-mRNA-1
2	2	1	*	PE_Scaf6226_2.5	maker-ctg303_pilon-est2genome-gene-1.8-mRNA-1
2	2	1	*	PE_Scaf6227_0.8	maker-ctg1061_pilon-protein2genome-gene-0.40-mRNA-1
2	2	1	*	PE_Scaf622_2.7	maker-ctg364_pilon-protein2genome-gene-1.85-mRNA-1
2	2	1	*	PE_Scaf622_5.12	maker-ctg364_pilon-augustus-gene-3.53-mRNA-1
2	2	1	*	PE_Scaf6230_0.5	maker-ctg2166_pilon-protein2genome-gene-0.1-mRNA-1
2	2	1	*	PE_Scaf6238_1.2	maker-ctg1032_pilon-augustus-gene-0.26-mRNA-1
2	2	1	*	PE_Scaf6245_17.18	maker-ctg240_pilon-protein2genome-gene-1.58-mRNA-1
2	2	1	*	PE_Scaf6245_3.5	maker-ctg875_pilon-augustus-gene-0.58-mRNA-1
2	2	1	*	PE_Scaf6245_4.5	maker-ctg875_pilon-protein2genome-gene-0.20-mRNA-1
2	2	1	*	PE_Scaf6245_8.4	maker-ctg240_pilon-protein2genome-gene-3.13-mRNA-1
2	2	1	*	PE_Scaf6246_0.4	maker-ctg82_pilon-protein2genome-gene-2.29-mRNA-1
2	2	1	*	PE_Scaf6246_1.18	maker-ctg82_pilon-protein2genome-gene-1.37-mRNA-1
2	2	1	*	PE_Scaf6270_0.5	maker-ctg90_pilon-protein2genome-gene-0.0-mRNA-1
2	2	1	*	PE_Scaf6273_1.6	maker-ctg1602_pilon-est_gff_est2genome-gene-0.21-mRNA-1
2	2	1	*	PE_Scaf6273_10.6	augustus-ctg681_pilon-processed-gene-1.81-mRNA-1
2	2	1	*	PE_Scaf6273_3.15	maker-ctg1237_pilon-augustus-gene-0.0-mRNA-1
2	2	1	*	PE_Scaf6273_5.8	augustus-ctg1497_pilon-processed-gene-0.4-mRNA-1
2	2	1	*	PE_Scaf6273_7.5	maker-ctg2066_pilon-protein2genome-gene-0.22-mRNA-1
2	2	1	*	PE_Scaf6273_7.7	maker-ctg681_pilon-protein2genome-gene-0.9-mRNA-1
2	2	1	*	PE_Scaf6278_0.5	maker-ctg154_pilon-augustus-gene-5.78-mRNA-1
2	2	1	*	PE_Scaf6285_1.36	maker-ctg877_pilon-augustus-gene-1.46-mRNA-1
2	2	1	*	PE_Scaf6285_1.8	maker-ctg877_pilon-protein2genome-gene-1.15-mRNA-1
2	2	1	*	PE_Scaf6293_4.9	maker-ctg919_pilon-protein2genome-gene-2.24-mRNA-1
2	2	1	*	PE_Scaf6295_0.12	maker-ctg994_pilon-protein2genome-gene-2.28-mRNA-1
2	2	1	*	PE_Scaf6297_0.3	maker-ctg556_pilon-protein2genome-gene-0.56-mRNA-1
2	2	1	*	PE_Scaf6297_0.8	maker-ctg556_pilon-protein2genome-gene-0.52-mRNA-1
2	2	1	*	PE_Scaf6297_1.8	augustus-ctg556_pilon-processed-gene-0.11-mRNA-1
2	2	1	*	PE_Scaf6297_4.9	augustus-ctg89_pilon-processed-gene-2.55-mRNA-1
2	2	1	*	PE_Scaf629_1.5	maker-ctg96_pilon-protein2genome-gene-2.26-mRNA-1
2	2	1	*	PE_Scaf629_4.7	maker-ctg96_pilon-protein2genome-gene-0.4-mRNA-1
2	2	1	*	PE_Scaf6302_1.8	augustus-ctg114_pilon-processed-gene-1.46-mRNA-1
2	2	1	*	PE_Scaf6303_1.8	maker-ctg857_pilon-protein2genome-gene-0.0-mRNA-1
2	2	1	*	PE_Scaf6307_0.6	augustus-ctg4_pilon-processed-gene-14.20-mRNA-1
2	2	1	*	PE_Scaf6310_5.4	augustus-ctg4_pilon-processed-gene-11.9-mRNA-1
2	2	1	*	PE_Scaf6313_2.5	maker-ctg369_pilon-protein2genome-gene-2.31-mRNA-1
2	2	1	*	PE_Scaf6318_0.5	augustus-ctg5648_pilon-processed-gene-0.0-mRNA-1
2	2	1	*	PE_Scaf6330_0.1	augustus-ctg877_pilon-processed-gene-1.33-mRNA-1
2	2	1	*	PE_Scaf6333_0.5	maker-ctg285_pilon-protein2genome-gene-0.0-mRNA-1
2	2	1	*	PE_Scaf6333_0.6	maker-ctg285_pilon-protein2genome-gene-0.5-mRNA-1
2	2	1	*	PE_Scaf6335_1.4	maker-ctg352_pilon-augustus-gene-0.23-mRNA-1
2	2	1	*	PE_Scaf6335_7.5	maker-ctg532_pilon-protein2genome-gene-0.23-mRNA-1
2	2	1	*	PE_Scaf6341_2.7	maker-ctg767_pilon-est2genome-gene-1.30-mRNA-1
2	2	1	*	PE_Scaf6344_1.18	maker-ctg1273_pilon-protein2genome-gene-1.87-mRNA-1
2	2	1	*	PE_Scaf6347_5.4	augustus-ctg158_pilon-processed-gene-1.26-mRNA-1
2	2	1	*	PE_Scaf6350_0.15	augustus-ctg52_pilon-processed-gene-5.7-mRNA-1
2	2	1	*	PE_Scaf6352_2.19	augustus-ctg19_pilon-processed-gene-6.42-mRNA-1
2	2	1	*	PE_Scaf6358_2.3	augustus-ctg1230_pilon-processed-gene-1.29-mRNA-1
2	2	1	*	PE_Scaf6359_1.5	augustus-ctg201_pilon-processed-gene-3.7-mRNA-1
2	2	1	*	PE_Scaf636_0.49	augustus-ctg838_pilon-processed-gene-1.28-mRNA-1
2	2	1	*	PE_Scaf636_0.50	maker-ctg838_pilon-protein2genome-gene-1.19-mRNA-1
2	2	1	*	PE_Scaf636_0.8	maker-ctg2093_pilon-protein2genome-gene-0.9-mRNA-1
2	2	1	*	PE_Scaf6370_0.6	maker-ctg397_pilon-protein2genome-gene-1.13-mRNA-1
2	2	1	*	PE_Scaf6370_0.7	maker-ctg397_pilon-protein2genome-gene-1.21-mRNA-1
2	2	1	*	PE_Scaf6371_2.3	augustus-ctg108_pilon-processed-gene-4.5-mRNA-1
2	2	1	*	PE_Scaf6371_2.4	augustus-ctg108_pilon-processed-gene-4.3-mRNA-1
2	2	1	*	PE_Scaf6376_1.17	maker-ctg1171_pilon-protein2genome-gene-0.17-mRNA-1
2	2	1	*	PE_Scaf6376_1.20	augustus-ctg1171_pilon-processed-gene-0.57-mRNA-1
2	2	1	*	PE_Scaf6376_17.8	augustus-ctg203_pilon-processed-gene-4.54-mRNA-1
2	2	1	*	PE_Scaf6376_18.0	maker-ctg2134_pilon-protein2genome-gene-0.3-mRNA-1
2	2	1	*	PE_Scaf6376_23.8	augustus-ctg5054_pilon-processed-gene-0.9-mRNA-1
2	2	1	*	PE_Scaf6376_5.5	maker-ctg354_pilon-protein2genome-gene-2.18-mRNA-1
2	2	1	*	PE_Scaf6376_7.4	maker-ctg432_pilon-protein2genome-gene-1.40-mRNA-1
2	2	1	*	PE_Scaf6376_8.10	maker-ctg527_pilon-protein2genome-gene-2.4-mRNA-1
2	2	1	*	PE_Scaf6376_8.11	maker-ctg527_pilon-protein2genome-gene-2.3-mRNA-1
2	2	1	*	PE_Scaf6376_8.8	maker-ctg478_pilon-protein2genome-gene-3.3-mRNA-1
2	2	1	*	PE_Scaf6381_5.4	maker-ctg514_pilon-protein2genome-gene-2.31-mRNA-1
2	2	1	*	PE_Scaf6386_12.3	maker-ctg216_pilon-protein2genome-gene-0.18-mRNA-1
2	2	1	*	PE_Scaf6386_8.3	maker-ctg33_pilon-protein2genome-gene-0.34-mRNA-1
2	2	1	*	PE_Scaf6386_8.5	maker-ctg33_pilon-protein2genome-gene-1.14-mRNA-1
2	2	1	*	PE_Scaf6386_9.11	augustus-ctg33_pilon-processed-gene-0.17-mRNA-1
2	2	1	*	PE_Scaf6386_9.8	maker-ctg100_pilon-protein2genome-gene-7.17-mRNA-1
2	2	1	*	PE_Scaf639_6.7	augustus-ctg2149_pilon-processed-gene-0.7-mRNA-1
2	2	1	*	PE_Scaf639_7.8	maker-ctg322_pilon-protein2genome-gene-2.60-mRNA-1
2	2	1	*	PE_Scaf6402_0.2	maker-ctg525_pilon-protein2genome-gene-2.24-mRNA-1
